alpha;beta;omega;seuil_acc;user;id_user;nojour;tyrep;avecqui;repas;substitution;reponse;omega;epsilon
1.0001;1.0005;0.05;0.5;<__main__.VirtualUser object at 0x000001D082217D30>;1;1;petit-dejeuner;seul;['café', 'eau du robinet', 'pain', 'fruits secs et châtaignes', 'jambons et charcuteries en pièces', 'lait en bouteille ou en brique'];('fruits secs et châtaignes', 'jambons et charcuteries en pièces');False;0.1;0.9989035087719298
1.0001;1.0005;0.05;0.5;<__main__.VirtualUser object at 0x000001D082217D30>;1;1;dejeuner;seul;"['café', 'eau du robinet', ""condiments d'accompagnement"", 'pain', 'pommes de terre et apparentés', 'jambons et charcuteries en pièces', 'beignets, crêpes et gaufres', 'fruits', 'sucre et assimilés']";"(""condiments d'accompagnement"", 'sauces')";True;0.1;0.9983552631578947
1.0001;1.0005;0.05;0.5;<__main__.VirtualUser object at 0x000001D082217D30>;1;1;gouter;seul;['café'];('café', 'thé et infusions');False;0.1;0.9978070175438597
1.0001;1.0005;0.05;0.5;<__main__.VirtualUser object at 0x000001D082217D30>;1;1;diner;accompagne;['cocktails et mélanges', 'eau du robinet', 'sodas et colas', 'blé', 'pain', 'fromages affinés', 'fruits'];('fromages affinés', 'yaourts et assimilés');False;0.1;0.9972587719298246
1.0001;1.0005;0.05;0.5;<__main__.VirtualUser object at 0x000001D082217D30>;1;2;petit-dejeuner;accompagne;['aliments destinés à une alimentation particulière', 'café', 'chicorée et poudre maltée'];('café', 'thé et infusions');False;0.09000000000000001;0.9967105263157895
1.0001;1.0005;0.05;0.5;<__main__.VirtualUser object at 0x000001D082217D30>;1;2;dejeuner;seul;['choux', 'légumes feuilles', 'fromages affinés', 'crème dessert et lait gélifié', 'pâtisseries et tartes', 'sucre et assimilés'];('sucre et assimilés', 'confiture et miel');False;0.08000000000000002;0.9961622807017544
1.0001;1.0005;0.05;0.5;<__main__.VirtualUser object at 0x000001D082217D30>;1;2;gouter;accompagne;['bière', 'eau de source', 'sodas et colas'];('sodas et colas', 'eau du robinet');True;0.07000000000000002;0.9956140350877193
1.0001;1.0005;0.05;0.5;<__main__.VirtualUser object at 0x000001D082217D30>;1;2;diner;accompagne;['eau de source', 'vin', 'pain', 'légumes racines, tubercules ou bulbes', 'saucisses, saucissons, andouilles et boudins', 'crème fraîche', 'fromages affinés', 'fruits'];('fromages affinés', 'yaourts et assimilés');False;0.06000000000000002;0.9950657894736842
1.0001;1.0005;0.05;0.75;<__main__.VirtualUser object at 0x000001D082217080>;1;1;petit-dejeuner;accompagne;['jus de fruits (purs et à base  de concentré)'];('jus de fruits (purs et à base  de concentré)', 'eau minérale plate');False;0.1;0.9987661937075879
1.0001;1.0005;0.05;0.75;<__main__.VirtualUser object at 0x000001D082217080>;1;1;dejeuner;seul;['café', 'eau du robinet', 'eau minérale plate', 'sauces', 'pain', 'boeuf en pièces ou haché', 'veau', 'plats à base de légumes', 'sandwichs baguette', 'chocolat en tablettes'];('chocolat en tablettes', 'fruits');True;0.1;0.9981492905613819
1.0001;1.0005;0.05;0.75;<__main__.VirtualUser object at 0x000001D082217080>;1;1;gouter;seul;['eau de source', 'sodas et colas', 'lait en bouteille ou en brique'];();False;0.1;0.9981492905613819
1.0001;1.0005;0.05;0.75;<__main__.VirtualUser object at 0x000001D082217080>;1;1;diner;accompagne;"['eau du robinet', 'eau minérale plate', ""condiments d'accompagnement"", 'sauces', 'pain', 'beurre', 'huile', 'fromages affinés', 'yaourts et assimilés']";('beurre', 'huile');False;0.1;0.9975323874151758
