cluster_consommateur;tyrep;nbre_repas_grp;code_role;nbre_repas_code;taux_code_apparaitre;libsougr;consommation;taux_conso_par_code
1;1;2714;A;296;10.91;aliments destinés à une alimentation particulière;296;100.0
1;1;2714;BC;2315;85.3;cacao, poudres et boissons cacaotées;209;9.03
1;1;2714;BC;2315;85.3;café;1414;61.08
1;1;2714;BC;2315;85.3;chicorée et poudre maltée;261;11.27
1;1;2714;BC;2315;85.3;thé et infusions;483;20.86
1;1;2714;BF;1145;42.19;autre eau;29;2.53
1;1;2714;BF;1145;42.19;autres boissons fraîches;28;2.45
1;1;2714;BF;1145;42.19;boissons aux fruits;5;0.44
1;1;2714;BF;1145;42.19;eau de source;121;10.57
1;1;2714;BF;1145;42.19;eau du robinet;336;29.34
1;1;2714;BF;1145;42.19;eau minérale gazeuse;7;0.61
1;1;2714;BF;1145;42.19;eau minérale plate;139;12.14
1;1;2714;BF;1145;42.19;jus de fruits (purs et à base  de concentré);606;52.93
1;1;2714;BF;1145;42.19;nectars;8;0.7
1;1;2714;BF;1145;42.19;vin;1;0.09
1;1;2714;C;8;0.29;condiments d'assaisonnement;5;62.5
1;1;2714;C;8;0.29;sauces;7;87.5
1;1;2714;C;8;0.29;sel et épices;7;87.5
1;1;2714;F;1444;53.21;autres produits de panification;1;0.07
1;1;2714;F;1444;53.21;biscottes et panification sèche;363;25.14
1;1;2714;F;1444;53.21;pain;1102;76.32
1;1;2714;F;1444;53.21;pâtes alimentaires;1;0.07
1;1;2714;F;1444;53.21;riz;6;0.42
1;1;2714;L;8;0.29;haricots verts et petits pois (légumes potagers);1;12.5
1;1;2714;L;8;0.29;légumes fruits;1;12.5
1;1;2714;L;8;0.29;légumes racines, tubercules ou bulbes;6;75.0
1;1;2714;MG;966;35.59;beurre;595;61.59
1;1;2714;MG;966;35.59;huile;14;1.45
1;1;2714;MG;966;35.59;margarine;358;37.06
1;1;2714;P;75;2.76;autre charcuterie ou charcuterie  sans précision;4;5.33
1;1;2714;P;75;2.76;autres poissons ou poissons sans précision;1;1.33
1;1;2714;P;75;2.76;boeuf en pièces ou haché;1;1.33
1;1;2714;P;75;2.76;fruits secs et châtaignes;23;30.67
1;1;2714;P;75;2.76;jambons et charcuteries en pièces;29;38.67
1;1;2714;P;75;2.76;légumes secs;5;6.67
1;1;2714;P;75;2.76;oeufs et dérivés;1;1.33
1;1;2714;P;75;2.76;oléagineux et graines;13;17.33
1;1;2714;P;75;2.76;produits dérivés des poissons;1;1.33
1;1;2714;P;75;2.76;saucisses, saucissons, andouilles et boudins;1;1.33
1;1;2714;P;75;2.76;volailles et lapins;1;1.33
1;1;2714;PC;2;0.07;plats garnis à base de viande;1;50.0
1;1;2714;PC;2;0.07;potages et soupes;1;50.0
1;1;2714;PL;1429;52.65;autre lait;31;2.17
1;1;2714;PL;1429;52.65;crème fraîche;3;0.21
1;1;2714;PL;1429;52.65;fromage blanc et petits suisses;50;3.5
1;1;2714;PL;1429;52.65;fromages affinés;18;1.26
1;1;2714;PL;1429;52.65;fromages fondus;9;0.63
1;1;2714;PL;1429;52.65;fromages frais non affinés;5;0.35
1;1;2714;PL;1429;52.65;lait aromatisé;1;0.07
1;1;2714;PL;1429;52.65;lait concentré ou en poudre;35;2.45
1;1;2714;PL;1429;52.65;lait en bouteille ou en brique;986;69.0
1;1;2714;PL;1429;52.65;yaourts et assimilés;378;26.45
1;1;2714;PS;1066;39.28;autres céréales pour petit déjeuner;39;3.66
1;1;2714;PS;1066;39.28;barres chocolatées;2;0.19
1;1;2714;PS;1066;39.28;barres céréalières;12;1.13
1;1;2714;PS;1066;39.28;beignets, crêpes et gaufres;26;2.44
1;1;2714;PS;1066;39.28;biscuits salés pour apéritif;1;0.09
1;1;2714;PS;1066;39.28;biscuits sucrés;117;10.98
1;1;2714;PS;1066;39.28;chocolat en tablettes;16;1.5
1;1;2714;PS;1066;39.28;compotes;37;3.47
1;1;2714;PS;1066;39.28;crème dessert et lait gélifié;17;1.59
1;1;2714;PS;1066;39.28;céréales aux fruits frais ou secs;28;2.63
1;1;2714;PS;1066;39.28;céréales chocolatées;44;4.13
1;1;2714;PS;1066;39.28;céréales sucrées, glacées ou au miel;136;12.76
1;1;2714;PS;1066;39.28;entremets;6;0.56
1;1;2714;PS;1066;39.28;fruits;289;27.11
1;1;2714;PS;1066;39.28;fruits au sirop;1;0.09
1;1;2714;PS;1066;39.28;gâteaux;104;9.76
1;1;2714;PS;1066;39.28;pâte chocolatée à tartiner;36;3.38
1;1;2714;PS;1066;39.28;pâtisseries et tartes;5;0.47
1;1;2714;PS;1066;39.28;viennoiserie;309;28.99
1;1;2714;S;1349;49.71;confiserie;4;0.3
1;1;2714;S;1349;49.71;confiture et miel;726;53.82
1;1;2714;S;1349;49.71;sucre et assimilés;875;64.86
1;3;2744;A;134;4.88;aliments destinés à une alimentation particulière;134;100.0
1;3;2744;BC;831;30.28;cacao, poudres et boissons cacaotées;3;0.36
1;3;2744;BC;831;30.28;café;713;85.8
1;3;2744;BC;831;30.28;chicorée et poudre maltée;15;1.81
1;3;2744;BC;831;30.28;thé et infusions;100;12.03
1;3;2744;BF;2105;76.71;autre eau;115;5.46
1;3;2744;BF;2105;76.71;autres boissons fraîches;71;3.37
1;3;2744;BF;2105;76.71;bière;5;0.24
1;3;2744;BF;2105;76.71;boissons aux fruits;8;0.38
1;3;2744;BF;2105;76.71;cidre;7;0.33
1;3;2744;BF;2105;76.71;cocktails et mélanges;46;2.19
1;3;2744;BF;2105;76.71;eau de source;422;20.05
1;3;2744;BF;2105;76.71;eau du robinet;825;39.19
1;3;2744;BF;2105;76.71;eau minérale gazeuse;75;3.56
1;3;2744;BF;2105;76.71;eau minérale plate;381;18.1
1;3;2744;BF;2105;76.71;jus de fruits (purs et à base  de concentré);91;4.32
1;3;2744;BF;2105;76.71;sodas et colas;105;4.99
1;3;2744;BF;2105;76.71;spiritueux et vins cuits;50;2.38
1;3;2744;BF;2105;76.71;vin;337;16.01
1;3;2744;C;937;34.15;condiments d'accompagnement;92;9.82
1;3;2744;C;937;34.15;condiments d'assaisonnement;199;21.24
1;3;2744;C;937;34.15;herbes aromatiques;92;9.82
1;3;2744;C;937;34.15;sauces;652;69.58
1;3;2744;C;937;34.15;sel et épices;137;14.62
1;3;2744;F;1856;67.64;autres céréales;6;0.32
1;3;2744;F;1856;67.64;autres produits de panification;8;0.43
1;3;2744;F;1856;67.64;biscottes et panification sèche;28;1.51
1;3;2744;F;1856;67.64;blé;37;1.99
1;3;2744;F;1856;67.64;pain;1067;57.49
1;3;2744;F;1856;67.64;pommes de terre et apparentés;620;33.41
1;3;2744;F;1856;67.64;pâtes alimentaires;318;17.13
1;3;2744;F;1856;67.64;pâtes pour pâtisserie prêtes à l'emploi;3;0.16
1;3;2744;F;1856;67.64;riz;226;12.18
1;3;2744;L;1595;58.13;champignons;78;4.89
1;3;2744;L;1595;58.13;choux;129;8.09
1;3;2744;L;1595;58.13;haricots verts et petits pois (légumes potagers);312;19.56
1;3;2744;L;1595;58.13;légumes feuilles;566;35.49
1;3;2744;L;1595;58.13;légumes fruits;459;28.78
1;3;2744;L;1595;58.13;légumes racines, tubercules ou bulbes;393;24.64
1;3;2744;L;1595;58.13;légumes tiges;94;5.89
1;3;2744;L;1595;58.13;mélanges de légumes, légumes préparés et autres légumes;205;12.85
1;3;2744;MG;1408;51.31;autres graisses;7;0.5
1;3;2744;MG;1408;51.31;beurre;719;51.07
1;3;2744;MG;1408;51.31;huile;848;60.23
1;3;2744;MG;1408;51.31;margarine;361;25.64
1;3;2744;P;1982;72.23;abats;40;2.02
1;3;2744;P;1982;72.23;agneau;65;3.28
1;3;2744;P;1982;72.23;autre charcuterie ou charcuterie  sans précision;14;0.71
1;3;2744;P;1982;72.23;autre viande;33;1.66
1;3;2744;P;1982;72.23;autres fruits de mer ou fruits de mer sans précision;6;0.3
1;3;2744;P;1982;72.23;autres poissons ou poissons sans précision;75;3.78
1;3;2744;P;1982;72.23;boeuf en pièces ou haché;413;20.84
1;3;2744;P;1982;72.23;crustacés;32;1.61
1;3;2744;P;1982;72.23;fruits secs et châtaignes;10;0.5
1;3;2744;P;1982;72.23;gibier;2;0.1
1;3;2744;P;1982;72.23;jambons et charcuteries en pièces;252;12.71
1;3;2744;P;1982;72.23;légumes secs;74;3.73
1;3;2744;P;1982;72.23;légumes secs préparés;16;0.81
1;3;2744;P;1982;72.23;mollusques et coquillage;42;2.12
1;3;2744;P;1982;72.23;oeufs et dérivés;189;9.54
1;3;2744;P;1982;72.23;oléagineux et graines;23;1.16
1;3;2744;P;1982;72.23;poissons d'eau douce;1;0.05
1;3;2744;P;1982;72.23;poissons de mer;277;13.98
1;3;2744;P;1982;72.23;porc;206;10.39
1;3;2744;P;1982;72.23;produits dérivés des poissons;107;5.4
1;3;2744;P;1982;72.23;pâtés, terrines, rillettes et foie gras;100;5.05
