cluster;tyrep;avecqui;aliment_1;aliment_2;score_substitution;score_sainlim_1;score_sainlim_2;score_sainlim;score_sainlim_nor
cluster_1;petit-dejeuner;seul;café;thé et infusions;0.07722851974036067;86.04876542552309;86.04876542552309;0.0;0.0
cluster_1;petit-dejeuner;seul;café;chicorée et poudre maltée;0.06999484556907876;86.04876542552309;86.04876542552309;0.0;0.0
cluster_1;petit-dejeuner;seul;café;cacao, poudres et boissons cacaotées;0.027197422040140334;86.04876542552309;86.04876542552309;0.0;0.0
cluster_1;petit-dejeuner;seul;thé et infusions;café;0.9227714802596393;86.04876542552309;86.04876542552309;0.0;0.0
cluster_1;petit-dejeuner;seul;thé et infusions;chicorée et poudre maltée;0.4755445647314727;86.04876542552309;86.04876542552309;0.0;0.0
cluster_1;petit-dejeuner;seul;thé et infusions;cacao, poudres et boissons cacaotées;0.4222981415616677;86.04876542552309;86.04876542552309;0.0;0.0
cluster_1;petit-dejeuner;seul;chicorée et poudre maltée;café;0.9300051544309212;86.04876542552309;86.04876542552309;0.0;0.0
cluster_1;petit-dejeuner;seul;chicorée et poudre maltée;thé et infusions;0.5244554352685272;86.04876542552309;86.04876542552309;0.0;0.0
cluster_1;petit-dejeuner;seul;chicorée et poudre maltée;cacao, poudres et boissons cacaotées;0.373622467116957;86.04876542552309;86.04876542552309;0.0;0.0
cluster_1;petit-dejeuner;seul;cacao, poudres et boissons cacaotées;café;0.9728025779598598;86.04876542552309;86.04876542552309;0.0;0.0
cluster_1;petit-dejeuner;seul;cacao, poudres et boissons cacaotées;thé et infusions;0.5777018584383324;86.04876542552309;86.04876542552309;0.0;0.0
cluster_1;petit-dejeuner;seul;cacao, poudres et boissons cacaotées;chicorée et poudre maltée;0.626377532883043;86.04876542552309;86.04876542552309;0.0;0.0
cluster_1;petit-dejeuner;seul;biscottes et panification sèche;pain;0.8874880340509647;86.99778787025707;92.77109206705057;5.773304196793504;0.07753480903731626
cluster_1;petit-dejeuner;seul;sucre et assimilés;confiture et miel;0.42953374040475384;61.33093500768159;79.62831934953721;18.29738434185562;0.24573175991940524
cluster_1;petit-dejeuner;seul;beurre;margarine;0.18867592249217177;47.14204550098295;69.92222764099368;22.78018214001073;0.30593521696674053
cluster_1;petit-dejeuner;seul;biscuits sucrés;fruits;0.7741496598639456;63.184104698549575;95.09128212732844;31.907177428778866;0.42850971030318336
cluster_1;petit-dejeuner;seul;biscuits sucrés;viennoiserie;0.7821522309711285;63.184104698549575;76.75344943387296;13.569344735323384;0.18223473369013646
cluster_1;petit-dejeuner;seul;biscuits sucrés;gâteaux;0.43918918918918914;63.184104698549575;70.71256800534765;7.5284633067980735;0.1011063933130751
cluster_1;petit-dejeuner;seul;biscuits sucrés;céréales sucrées, glacées ou au miel;0.49079754601226994;63.184104698549575;78.25139596954753;15.067291270997956;0.20235198277882008
cluster_1;petit-dejeuner;seul;viennoiserie;fruits;0.49121108606358993;76.75344943387296;95.09128212732844;18.337832693455482;0.2462749766130469
cluster_1;petit-dejeuner;seul;viennoiserie;céréales sucrées, glacées ou au miel;0.21248339973439576;76.75344943387296;78.25139596954753;1.497946535674572;0.020117249088683613
cluster_1;petit-dejeuner;seul;gâteaux;fruits;0.8091042584434657;70.71256800534765;95.09128212732844;24.378714121980792;0.3274033169901083
cluster_1;petit-dejeuner;seul;gâteaux;viennoiserie;0.8163841807909605;70.71256800534765;76.75344943387296;6.04088142852531;0.08112834037706135
cluster_1;petit-dejeuner;seul;gâteaux;céréales sucrées, glacées ou au miel;0.5517241379310345;70.71256800534765;78.25139596954753;7.538827964199882;0.10124558946574497
cluster_1;petit-dejeuner;seul;céréales sucrées, glacées ou au miel;fruits;0.7796143250688705;78.25139596954753;95.09128212732844;16.83988615778091;0.22615772752436328
cluster_1;petit-dejeuner;seul;eau du robinet;eau minérale plate;0.08185053380782918;99.83238516227932;99.83238516227932;0.0;0.0
cluster_1;petit-dejeuner;seul;jus de fruits (purs et à base  de concentré);eau du robinet;0.5169422430738896;95.12028430661472;99.83238516227932;4.712100855664602;0.06328297064468663
cluster_1;petit-dejeuner;seul;jus de fruits (purs et à base  de concentré);eau minérale plate;0.021243842364532018;95.12028430661472;99.83238516227932;4.712100855664602;0.06328297064468663
cluster_1;petit-dejeuner;seul;eau minérale plate;eau du robinet;0.9181494661921709;99.83238516227932;99.83238516227932;0.0;0.0
cluster_1;petit-dejeuner;seul;yaourts et assimilés;lait en bouteille ou en brique;0.9297454883081019;91.67958328622757;96.43442144006512;4.754838153837554;0.0638569276266262
cluster_1;petit-dejeuner;accompagne;café;thé et infusions;0.196667053743701;86.04876542552309;86.04876542552309;0.0;0.0
cluster_1;petit-dejeuner;accompagne;café;chicorée et poudre maltée;0.45639912800501187;86.04876542552309;86.04876542552309;0.0;0.0
cluster_1;petit-dejeuner;accompagne;café;cacao, poudres et boissons cacaotées;0.042390099027020726;86.04876542552309;86.04876542552309;0.0;0.0
cluster_1;petit-dejeuner;accompagne;thé et infusions;café;0.8033329462562989;86.04876542552309;86.04876542552309;0.0;0.0
cluster_1;petit-dejeuner;accompagne;thé et infusions;chicorée et poudre maltée;0.5083863611103904;86.04876542552309;86.04876542552309;0.0;0.0
cluster_1;petit-dejeuner;accompagne;thé et infusions;cacao, poudres et boissons cacaotées;0.3273322160612725;86.04876542552309;86.04876542552309;0.0;0.0
cluster_1;petit-dejeuner;accompagne;chicorée et poudre maltée;café;0.5436008719949882;86.04876542552309;86.04876542552309;0.0;0.0
cluster_1;petit-dejeuner;accompagne;chicorée et poudre maltée;thé et infusions;0.4916136388896096;86.04876542552309;86.04876542552309;0.0;0.0
cluster_1;petit-dejeuner;accompagne;chicorée et poudre maltée;cacao, poudres et boissons cacaotées;0.36176106286461873;86.04876542552309;86.04876542552309;0.0;0.0
cluster_1;petit-dejeuner;accompagne;cacao, poudres et boissons cacaotées;café;0.9576099009729793;86.04876542552309;86.04876542552309;0.0;0.0
cluster_1;petit-dejeuner;accompagne;cacao, poudres et boissons cacaotées;thé et infusions;0.6726677839387275;86.04876542552309;86.04876542552309;0.0;0.0
cluster_1;petit-dejeuner;accompagne;cacao, poudres et boissons cacaotées;chicorée et poudre maltée;0.6382389371353813;86.04876542552309;86.04876542552309;0.0;0.0
cluster_1;petit-dejeuner;accompagne;biscottes et panification sèche;pain;0.9842379385964913;86.99778787025707;92.77109206705057;5.773304196793504;0.07753480903731626
cluster_1;petit-dejeuner;accompagne;sucre et assimilés;confiture et miel;0.49548527474209836;61.33093500768159;79.62831934953721;18.29738434185562;0.24573175991940524
cluster_1;petit-dejeuner;accompagne;beurre;margarine;0.23383324959211388;47.14204550098295;69.92222764099368;22.78018214001073;0.30593521696674053
cluster_1;petit-dejeuner;accompagne;viennoiserie;fruits;0.4599900481298833;76.75344943387296;95.09128212732844;18.337832693455482;0.2462749766130469
cluster_1;petit-dejeuner;accompagne;jus de fruits (purs et à base  de concentré);eau du robinet;0.5682007831583368;95.12028430661472;99.83238516227932;4.712100855664602;0.06328297064468663
cluster_1;petit-dejeuner;accompagne;yaourts et assimilés;lait en bouteille ou en brique;0.8517752393014458;91.67958328622757;96.43442144006512;4.754838153837554;0.0638569276266262
cluster_2;petit-dejeuner;seul;beurre;margarine;0.08771395987609056;47.14204550098295;69.92222764099368;22.78018214001073;0.30593521696674053
cluster_2;petit-dejeuner;seul;café;thé et infusions;0.00853018372703412;86.04876542552309;86.04876542552309;0.0;0.0
cluster_2;petit-dejeuner;seul;café;chicorée et poudre maltée;0.008192090395480226;86.04876542552309;86.04876542552309;0.0;0.0
cluster_2;petit-dejeuner;seul;café;cacao, poudres et boissons cacaotées;0.034800278320081604;86.04876542552309;86.04876542552309;0.0;0.0
cluster_2;petit-dejeuner;seul;thé et infusions;café;0.9914698162729659;86.04876542552309;86.04876542552309;0.0;0.0
cluster_2;petit-dejeuner;seul;thé et infusions;chicorée et poudre maltée;0.4887640449438202;86.04876542552309;86.04876542552309;0.0;0.0
cluster_2;petit-dejeuner;seul;thé et infusions;cacao, poudres et boissons cacaotées;0.7111111111111111;86.04876542552309;86.04876542552309;0.0;0.0
cluster_2;petit-dejeuner;seul;chicorée et poudre maltée;café;0.9918079096045198;86.04876542552309;86.04876542552309;0.0;0.0
cluster_2;petit-dejeuner;seul;chicorée et poudre maltée;thé et infusions;0.5112359550561797;86.04876542552309;86.04876542552309;0.0;0.0
cluster_2;petit-dejeuner;seul;chicorée et poudre maltée;cacao, poudres et boissons cacaotées;0.7184466019417476;86.04876542552309;86.04876542552309;0.0;0.0
cluster_2;petit-dejeuner;seul;cacao, poudres et boissons cacaotées;café;0.9651997216799184;86.04876542552309;86.04876542552309;0.0;0.0
cluster_2;petit-dejeuner;seul;cacao, poudres et boissons cacaotées;thé et infusions;0.2888888888888889;86.04876542552309;86.04876542552309;0.0;0.0
cluster_2;petit-dejeuner;seul;cacao, poudres et boissons cacaotées;chicorée et poudre maltée;0.2815533980582524;86.04876542552309;86.04876542552309;0.0;0.0
cluster_2;petit-dejeuner;seul;biscottes et panification sèche;pain;0.9787760877255042;86.99778787025707;92.77109206705057;5.773304196793504;0.07753480903731626
cluster_2;petit-dejeuner;seul;yaourts et assimilés;lait en bouteille ou en brique;0.9716666666666667;91.67958328622757;96.43442144006512;4.754838153837554;0.0638569276266262
cluster_2;petit-dejeuner;seul;sucre et assimilés;confiture et miel;0.3817856287170233;61.33093500768159;79.62831934953721;18.29738434185562;0.24573175991940524
cluster_2;petit-dejeuner;seul;jus de fruits (purs et à base  de concentré);eau du robinet;0.2436520301042704;95.12028430661472;99.83238516227932;4.712100855664602;0.06328297064468663
cluster_2;petit-dejeuner;seul;biscuits sucrés;viennoiserie;0.6497285872123746;63.184104698549575;76.75344943387296;13.569344735323384;0.18223473369013646
cluster_2;petit-dejeuner;accompagne;beurre;margarine;0.17798868524039177;47.14204550098295;69.92222764099368;22.78018214001073;0.30593521696674053
cluster_2;petit-dejeuner;accompagne;biscottes et panification sèche;pain;0.9657013109545436;86.99778787025707;92.77109206705057;5.773304196793504;0.07753480903731626
cluster_2;petit-dejeuner;accompagne;café;thé et infusions;0.009391157539305688;86.04876542552309;86.04876542552309;0.0;0.0
cluster_2;petit-dejeuner;accompagne;café;chicorée et poudre maltée;0.008736415938632006;86.04876542552309;86.04876542552309;0.0;0.0
