cluster;repas;compagnie;malus;aliment_1;aliment_2;score
cluster_1;petit-dejeuner;seul;False;beurre;margarine;0.8687341607207206
cluster_1;petit-dejeuner;seul;False;biscottes et panification sèche;pain;0.5740976859455982
cluster_1;petit-dejeuner;seul;False;biscuits sucrés;céréales sucrées, glacées ou au miel;0.8191311852704257
cluster_1;petit-dejeuner;seul;False;biscuits sucrés;fruits;0.6592105263157895
cluster_1;petit-dejeuner;seul;False;biscuits sucrés;gâteaux;1.0056962025316456
cluster_1;petit-dejeuner;seul;False;biscuits sucrés;viennoiserie;0.6563624250499667
cluster_1;petit-dejeuner;seul;False;cacao, poudres et boissons cacaotées;café;0.3770831754213093
cluster_1;petit-dejeuner;seul;False;cacao, poudres et boissons cacaotées;chicorée et poudre maltée;0.793342709798406
cluster_1;petit-dejeuner;seul;False;cacao, poudres et boissons cacaotées;thé et infusions;0.5661392405063291
cluster_1;petit-dejeuner;seul;False;café;cacao, poudres et boissons cacaotées;0.7127371838601277
cluster_1;petit-dejeuner;seul;False;café;chicorée et poudre maltée;0.7138467586998586
cluster_1;petit-dejeuner;seul;False;café;thé et infusions;0.8110787032920267
cluster_1;petit-dejeuner;seul;False;chicorée et poudre maltée;cacao, poudres et boissons cacaotées;0.7622128457571495
cluster_1;petit-dejeuner;seul;False;chicorée et poudre maltée;café;0.45933759884204084
cluster_1;petit-dejeuner;seul;False;chicorée et poudre maltée;thé et infusions;0.6307075211184592
cluster_1;petit-dejeuner;seul;False;confiture et miel;sucre et assimilés;0.7340331890604909
cluster_1;petit-dejeuner;seul;False;céréales sucrées, glacées ou au miel;biscuits sucrés;0.8172324510932105
cluster_1;petit-dejeuner;seul;False;céréales sucrées, glacées ou au miel;fruits;0.8135142889174259
cluster_1;petit-dejeuner;seul;False;céréales sucrées, glacées ou au miel;gâteaux;0.8229286536248561
cluster_1;petit-dejeuner;seul;False;céréales sucrées, glacées ou au miel;viennoiserie;0.8126481379563384
cluster_1;petit-dejeuner;seul;False;eau de source;eau du robinet;0.5802625410220347
cluster_1;petit-dejeuner;seul;False;eau de source;eau minérale plate;0.9958860759493671
cluster_1;petit-dejeuner;seul;False;eau de source;jus de fruits (purs et à base  de concentré);0.42956362425049965
cluster_1;petit-dejeuner;seul;False;eau du robinet;eau de source;0.6789967182372246
cluster_1;petit-dejeuner;seul;False;eau du robinet;eau minérale plate;0.6748827941865917
cluster_1;petit-dejeuner;seul;False;eau du robinet;jus de fruits (purs et à base  de concentré);0.5792561612899781
cluster_1;petit-dejeuner;seul;False;eau minérale plate;eau de source;1.004113924050633
cluster_1;petit-dejeuner;seul;False;eau minérale plate;eau du robinet;0.5843764650726676
cluster_1;petit-dejeuner;seul;False;eau minérale plate;jus de fruits (purs et à base  de concentré);0.4336775483011326
cluster_1;petit-dejeuner;seul;False;fruits;biscuits sucrés;0.7092105263157895
cluster_1;petit-dejeuner;seul;False;fruits;céréales sucrées, glacées ou au miel;0.8386596241260523
cluster_1;petit-dejeuner;seul;False;fruits;gâteaux;0.7149067288474351
cluster_1;petit-dejeuner;seul;False;fruits;viennoiserie;0.8701889456912749
cluster_1;petit-dejeuner;seul;False;gâteaux;biscuits sucrés;0.9943037974683544
cluster_1;petit-dejeuner;seul;False;gâteaux;céréales sucrées, glacées ou au miel;0.8134349827387801
cluster_1;petit-dejeuner;seul;False;gâteaux;fruits;0.6535143237841439
cluster_1;petit-dejeuner;seul;False;gâteaux;viennoiserie;0.6506662225183211
cluster_1;petit-dejeuner;seul;False;jus de fruits (purs et à base  de concentré);eau de source;0.6441205862758161
cluster_1;petit-dejeuner;seul;False;jus de fruits (purs et à base  de concentré);eau du robinet;0.6903090561013262
cluster_1;petit-dejeuner;seul;False;jus de fruits (purs et à base  de concentré);eau minérale plate;0.6400066622251832
cluster_1;petit-dejeuner;seul;False;lait en bouteille ou en brique;yaourts et assimilés;0.7184330835682997
cluster_1;petit-dejeuner;seul;False;margarine;beurre;0.7441690650857311
cluster_1;petit-dejeuner;seul;False;pain;biscottes et panification sèche;0.8544737426258303
cluster_1;petit-dejeuner;seul;False;sucre et assimilés;confiture et miel;0.7417502867229849
cluster_1;petit-dejeuner;seul;False;thé et infusions;cacao, poudres et boissons cacaotées;0.6338607594936708
cluster_1;petit-dejeuner;seul;False;thé et infusions;café;0.4830389437667968
cluster_1;petit-dejeuner;seul;False;thé et infusions;chicorée et poudre maltée;0.6884414150517537
cluster_1;petit-dejeuner;seul;False;viennoiserie;biscuits sucrés;0.7120586275816123
cluster_1;petit-dejeuner;seul;False;viennoiserie;céréales sucrées, glacées ou au miel;0.83952577508714
cluster_1;petit-dejeuner;seul;False;viennoiserie;fruits;0.8717465381796928
cluster_1;petit-dejeuner;seul;False;viennoiserie;gâteaux;0.7177548301132578
cluster_1;petit-dejeuner;seul;False;yaourts et assimilés;lait en bouteille ou en brique;0.4924512701731969
cluster_2;petit-dejeuner;seul;False;beurre;margarine;0.7758088274065251
cluster_2;petit-dejeuner;seul;False;biscottes et panification sèche;pain;0.4797563841520622
cluster_2;petit-dejeuner;seul;False;biscuits sucrés;fruits;0.6755610098176719
cluster_2;petit-dejeuner;seul;False;biscuits sucrés;viennoiserie;0.9277796655488314
cluster_2;petit-dejeuner;seul;False;cacao, poudres et boissons cacaotées;café;0.369245144417534
cluster_2;petit-dejeuner;seul;False;cacao, poudres et boissons cacaotées;chicorée et poudre maltée;0.746236559139785
