cluster_consommateur;tyrep;nbre_repas_grp;code_role;nbre_repas_code;taux_code_apparaitre;libsougr;consommation;taux_conso_par_code
1;1;2714;P;75;2.76;boeuf en pièces ou haché;1;1.33
1;1;2714;P;75;2.76;légumes secs;5;6.67
1;1;2714;P;75;2.76;volailles et lapins;1;1.33
1;3;2744;P;1982;72.23;agneau;65;3.28
1;3;2744;P;1982;72.23;boeuf en pièces ou haché;413;20.84
1;3;2744;P;1982;72.23;crustacés;32;1.61
1;3;2744;P;1982;72.23;légumes secs;74;3.73
1;3;2744;P;1982;72.23;légumes secs préparés;16;0.81
1;3;2744;P;1982;72.23;poissons d'eau douce;1;0.05
1;3;2744;P;1982;72.23;poissons de mer;277;13.98
1;3;2744;P;1982;72.23;porc;206;10.39
1;3;2744;P;1982;72.23;veau;90;4.54
1;3;2744;P;1982;72.23;volailles et lapins;187;9.43
1;4;1962;P;55;2.8;poissons de mer;2;3.64
1;4;1962;P;55;2.8;volailles et lapins;2;3.64
1;5;2795;P;1562;55.89;agneau;36;2.3
1;5;2795;P;1562;55.89;boeuf en pièces ou haché;164;10.5
1;5;2795;P;1562;55.89;crustacés;49;3.14
1;5;2795;P;1562;55.89;légumes secs;45;2.88
1;5;2795;P;1562;55.89;légumes secs préparés;18;1.15
1;5;2795;P;1562;55.89;poissons d'eau douce;2;0.13
1;5;2795;P;1562;55.89;poissons de mer;225;14.4
1;5;2795;P;1562;55.89;porc;87;5.57
1;5;2795;P;1562;55.89;veau;22;1.41
1;5;2795;P;1562;55.89;volailles et lapins;107;6.85
2;1;2275;P;53;2.33;boeuf en pièces ou haché;4;7.55
2;1;2275;P;53;2.33;crustacés;1;1.89
2;1;2275;P;53;2.33;poissons de mer;1;1.89
2;1;2275;P;53;2.33;porc;1;1.89
2;1;2275;P;53;2.33;veau;1;1.89
2;1;2275;P;53;2.33;volailles et lapins;4;7.55
2;3;2298;P;1824;79.37;agneau;64;3.51
2;3;2298;P;1824;79.37;boeuf en pièces ou haché;394;21.6
2;3;2298;P;1824;79.37;crustacés;31;1.7
2;3;2298;P;1824;79.37;légumes secs;78;4.28
2;3;2298;P;1824;79.37;légumes secs préparés;13;0.71
2;3;2298;P;1824;79.37;poissons d'eau douce;3;0.16
2;3;2298;P;1824;79.37;poissons de mer;221;12.12
2;3;2298;P;1824;79.37;porc;205;11.24
2;3;2298;P;1824;79.37;veau;68;3.73
2;3;2298;P;1824;79.37;volailles et lapins;368;20.18
2;4;1427;P;70;4.91;boeuf en pièces ou haché;1;1.43
2;4;1427;P;70;4.91;crustacés;1;1.43
2;4;1427;P;70;4.91;poissons de mer;1;1.43
2;4;1427;P;70;4.91;porc;1;1.43
2;4;1427;P;70;4.91;volailles et lapins;3;4.29
2;5;2376;P;1523;64.1;agneau;25;1.64
2;5;2376;P;1523;64.1;boeuf en pièces ou haché;194;12.74
2;5;2376;P;1523;64.1;crustacés;46;3.02
2;5;2376;P;1523;64.1;légumes secs;53;3.48
2;5;2376;P;1523;64.1;légumes secs préparés;6;0.39
2;5;2376;P;1523;64.1;poissons de mer;219;14.38
2;5;2376;P;1523;64.1;porc;113;7.42
2;5;2376;P;1523;64.1;veau;12;0.79
2;5;2376;P;1523;64.1;volailles et lapins;217;14.25
3;1;2721;P;109;4.01;boeuf en pièces ou haché;2;1.83
3;1;2721;P;109;4.01;poissons de mer;2;1.83
3;1;2721;P;109;4.01;volailles et lapins;14;12.84
