antecedents;consequents;antecedent support;consequent support;support;confidence;lift;leverage;conviction
('famille',);('porc',);0.429632895;0.02805239;0.017945973;0.041770482;1.489016897;0.005893744;1.014316082
('cluster_1',);('porc',);0.160805365;0.02805239;0.00461243;0.028683309;1.022490747;0.000101455;1.00064955
('cluster_2',);('porc',);0.131855677;0.02805239;0.005037466;0.038204394;1.361894441;0.001338599;1.010555261
('cluster_5',);('porc',);0.143127007;0.02805239;0.004423525;0.030906291;1.101734705;0.00040847;1.002944918
('cluster_6',);('porc',);0.082331087;0.02805239;0.002613186;0.031739962;1.131453048;0.000303602;1.003808452
('diner',);('porc',);0.275832756;0.02805239;0.008894276;0.032245177;1.149462769;0.001156508;1.00433249
('autre',);('porc',);0.054026825;0.02805239;0.002314086;0.042832168;1.526863428;0.000798504;1.015441156
('cluster_7',);('porc',);0.183615641;0.02805239;0.005037466;0.027434842;0.977985925;-0.000113391;0.999365032
('cluster_3',);('porc',);0.162426799;0.02805239;0.002754864;0.016960651;0.604606292;-0.001801596;0.988716893
('cluster_4',);('porc',);0.105692337;0.02805239;0.003085448;0.029192732;1.040650439;0.000120525;1.001174633
('cluster_1', 'dejeuner');('porc',);0.043196272;0.02805239;0.003242869;0.075072886;2.676167244;0.00203111;1.050836975
('cluster_1', 'famille');('porc',);0.066226938;0.02805239;0.003164158;0.047777514;1.703153074;0.001306335;1.020714827
('cluster_1', 'diner');('porc',);0.043999118;0.02805239;0.001369561;0.031127013;1.109602886;0.000135281;1.003173401
('cluster_1', 'dejeuner', 'famille');('porc',);0.022574145;0.02805239;0.002219634;0.09832636;3.505097465;0.001586375;1.077937257
('cluster_2', 'dejeuner');('porc',);0.036175304;0.02805239;0.003227127;0.089208007;3.180050188;0.002212323;1.067145537
('cluster_2', 'famille');('porc',);0.058796675;0.02805239;0.002770606;0.047121821;1.679779199;0.001121219;1.020012454
('cluster_2', 'diner');('porc',);0.037403186;0.02805239;0.001778855;0.047558923;1.695360829;0.000729606;1.020480567
('cluster_2', 'seul');('porc',);0.035372458;0.02805239;0.00113343;0.032042724;1.142245778;0.000141148;1.004122428
('cluster_2', 'dejeuner', 'famille');('porc',);0.01890624;0.02805239;0.00158995;0.084096586;2.997840371;0.001059585;1.061190073
('cluster_2', 'diner', 'famille');('porc',);0.025738304;0.02805239;0.001180656;0.04587156;1.635210412;0.000458635;1.018675861
('diner', 'seul');('porc',);0.055475096;0.02805239;0.001275109;0.022985244;0.819368486;-0.0002811;0.994813645
('cluster_5', 'dejeuner');('porc',);0.038363453;0.02805239;0.003085448;0.080426754;2.867019716;0.002009261;1.056955076
('cluster_5', 'famille');('porc',);0.062071028;0.02805239;0.003195643;0.051483642;1.835267603;0.001454402;1.024703056
('cluster_5', 'diner');('porc',);0.038631069;0.02805239;0.001338077;0.034637327;1.23473712;0.000254383;1.006821205
('cluster_5', 'dejeuner', 'famille');('porc',);0.02109439;0.02805239;0.002172407;0.102985075;3.671169405;0.001580659;1.083535606
('cluster_5', 'diner', 'famille');('porc',);0.026777281;0.02805239;0.001023235;0.038212816;1.362194682;0.000272069;1.010564111
('cluster_6', 'dejeuner');('porc',);0.022353756;0.02805239;0.001715887;0.076760563;2.73632886;0.001088811;1.0527579
('cluster_6', 'famille');('porc',);0.031861973;0.02805239;0.001495498;0.046936759;1.673182195;0.000601693;1.019814393
('diner', 'famille');('porc',);0.185016687;0.02805239;0.006060701;0.032757594;1.167729174;0.000870541;1.004864555
('amis', 'diner');('porc',);0.021944462;0.02805239;0.00121214;0.055236729;1.969056096;0.000596546;1.028773705
('amis', 'dejeuner');('porc',);0.025722562;0.02805239;0.001322335;0.051407589;1.832556491;0.000600756;1.0246209
('autre', 'dejeuner');('porc',);0.029170077;0.02805239;0.00196776;0.067458176;2.404721194;0.00114947;1.042256321
('cluster_7', 'diner');('porc',);0.052074806;0.02805239;0.001747371;0.033555018;1.196155428;0.000286548;1.00569368
('cluster_7', 'seul');('porc',);0.053523078;0.02805239;0.001023235;0.019117647;0.681497986;-0.000478215;0.990891117
('cluster_7', 'dejeuner');('porc',);0.050232983;0.02805239;0.003290095;0.065496709;2.334799649;0.00188094;1.040068687
('cluster_7', 'famille');('porc',);0.07403501;0.02805239;0.003179901;0.042951308;1.531110476;0.001103042;1.015567565
('cluster_7', 'diner', 'famille');('porc',);0.033011145;0.02805239;0.001117688;0.033857892;1.206952158;0.000191646;1.006008953
('cluster_7', 'dejeuner', 'famille');('porc',);0.025045652;0.02805239;0.002062213;0.082338152;2.935156439;0.001359622;1.059156608
('cluster_3', 'famille');('porc',);0.07387759;0.02805239;0.001841824;0.024930748;0.888721005;-0.000230619;0.996798544
('cluster_3', 'dejeuner');('porc',);0.043196272;0.02805239;0.002125181;0.049198251;1.753798922;0.000913422;1.022240032
('cluster_3', 'dejeuner', 'famille');('porc',);0.025344752;0.02805239;0.001448272;0.057142857;2.03700497;0.000737291;1.030853526
('cluster_4', 'dejeuner');('porc',);0.028792267;0.02805239;0.002093697;0.072717332;2.592197413;0.001286005;1.048167559
('cluster_4', 'dejeuner', 'famille');('porc',);0.015505951;0.02805239;0.001227882;0.079187817;2.822854604;0.000792903;1.055532962
('famille',);('boeuf en pièces ou haché',);0.429632895;0.057065046;0.035577105;0.082808149;1.45111858;0.011060084;1.028067304
('cluster_1',);('boeuf en pièces ou haché',);0.160805365;0.057065046;0.009098923;0.056583456;0.991560673;-7.74E-05;0.999489525
('diner',);('boeuf en pièces ou haché',);0.275832756;0.057065046;0.018134878;0.065745919;1.152122423;0.002394469;1.009291769
('cluster_2',);('boeuf en pièces ou haché',);0.131855677;0.057065046;0.009335054;0.070797517;1.240645918;0.001810704;1.014778771
('cluster_3',);('boeuf en pièces ou haché',);0.162426799;0.057065046;0.005242113;0.032273696;0.565559805;-0.00402678;0.974381858
('cluster_6',);('boeuf en pièces ou haché',);0.082331087;0.057065046;0.005100434;0.061950287;1.085608281;0.000402207;1.00520787
('cluster_7',);('boeuf en pièces ou haché',);0.183615641;0.057065046;0.012231598;0.066615226;1.167356038;0.001753562;1.010231772
('cluster_5',);('boeuf en pièces ou haché',);0.143127007;0.057065046;0.008784082;0.061372635;1.075485596;0.000616532;1.004589243
('cluster_4',);('boeuf en pièces ou haché',);0.105692337;0.057065046;0.006344059;0.060023831;1.051849332;0.000312721;1.003147723
('cluster_1', 'dejeuner');('boeuf en pièces ou haché',);0.043196272;0.057065046;0.00650148;0.150510204;2.637520056;0.004036482;1.110001507
('cluster_1', 'famille');('boeuf en pièces ou haché',);0.066226938;0.057065046;0.005871796;0.088661754;1.553696352;0.002092553;1.03467067
('cluster_1', 'diner');('boeuf en pièces ou haché',);0.043999118;0.057065046;0.002581701;0.058676208;1.028233767;7.09E-05;1.001711591
('cluster_1', 'seul');('boeuf en pièces ou haché',);0.047257729;0.057065046;0.001763113;0.037308461;0.653788325;-0.000933651;0.979477762
('cluster_1', 'dejeuner', 'famille');('boeuf en pièces ou haché',);0.022574145;0.057065046;0.004045715;0.179218968;3.140608474;0.00275752;1.148826443
('cluster_1', 'diner', 'famille');('boeuf en pièces ou haché',);0.028272779;0.057065046;0.001826081;0.064587973;1.131830735;0.000212694;1.008042367
('cluster_1', 'dejeuner', 'seul');('boeuf en pièces ou haché',);0.012357534;0.057065046;0.001432529;0.115923567;2.031428597;0.000727346;1.066576281
('diner', 'famille');('boeuf en pièces ou haché',);0.185016687;0.057065046;0.012310308;0.066536204;1.165971253;0.001752322;1.01014625
('cluster_2', 'dejeuner');('boeuf en pièces ou haché',);0.036175304;0.057065046;0.00620238;0.171453438;3.004526395;0.004138035;1.138059099
('cluster_2', 'famille');('boeuf en pièces ou haché',);0.058796675;0.057065046;0.005289339;0.089959839;1.576443817;0.001934104;1.036146529
('cluster_2', 'seul');('boeuf en pièces ou haché',);0.035372458;0.057065046;0.002188149;0.061860258;1.084030631;0.000169618;1.005111405
('cluster_2', 'diner');('boeuf en pièces ou haché',);0.037403186;0.057065046;0.003053964;0.081649832;1.430820388;0.000919549;1.0267706
('cluster_2', 'dejeuner', 'famille');('boeuf en pièces ou haché',);0.01890624;0.057065046;0.003258611;0.17235637;3.020349249;0.002179725;1.139300684
('cluster_2', 'diner', 'famille');('boeuf en pièces ou haché',);0.025738304;0.057065046;0.002014986;0.078287462;1.371898682;0.000546229;1.023024983
('cluster_3', 'dejeuner');('boeuf en pièces ou haché',);0.043196272;0.057065046;0.003809584;0.08819242;1.545471801;0.001344587;1.034138095
('cluster_3', 'famille');('boeuf en pièces ou haché',);0.07387759;0.057065046;0.003620679;0.049009163;0.858829805;-0.000595149;0.991528958
('cluster_3', 'diner');('boeuf en pièces ou haché',);0.043731503;0.057065046;0.001385303;0.031677466;0.555111541;-0.001110237;0.973781896
('cluster_3', 'dejeuner', 'famille');('boeuf en pièces ou haché',);0.025344752;0.057065046;0.002597443;0.102484472;1.795923752;0.001151144;1.050605727
('cluster_6', 'famille');('boeuf en pièces ou haché',);0.031861973;0.057065046;0.002990996;0.093873518;1.645026578;0.001172791;1.040621781
('cluster_6', 'diner');('boeuf en pièces ou haché',);0.022999181;0.057065046;0.001621434;0.070499658;1.235426279;0.000308985;1.014453584
('cluster_6', 'dejeuner');('boeuf en pièces ou haché',);0.022353756;0.057065046;0.003447516;0.154225352;2.702623798;0.002171898;1.114877297
('cluster_6', 'seul');('boeuf en pièces ou haché',);0.026651344;0.057065046;0.001054719;0.039574719;0.693501925;-0.000466141;0.981788977
('cluster_6', 'dejeuner', 'famille');('boeuf en pièces ou haché',);0.010468484;0.057065046;0.001999244;0.190977444;3.34666238;0.00140186;1.165523688
