codrole;codgr;libgr;sougr;libsougr;codal;libal
F;1;pain et panification sèche;1;pain;7001;pain baguette
F;1;pain et panification sèche;1;pain;7004;pain grillé maison
F;1;pain et panification sèche;1;pain;7012;pain courant français boule à la levure
F;1;pain et panification sèche;1;pain;7100;pain de campagne ou bis
F;1;pain et panification sèche;1;pain;7110;pain complet ou intégral artisanal
F;1;pain et panification sèche;1;pain;7125;pain de seigle et froment
F;1;pain et panification sèche;1;pain;7126;pain de seigle aux raisins
F;1;pain et panification sèche;1;pain;7160;pain baguette sans sel
F;1;pain et panification sèche;1;pain;7200;pain de mie
F;1;pain et panification sèche;1;pain;7225;pain brioché ou viennois
F;1;pain et panification sèche;1;pain;7255;pain aux céréales artisanal
F;1;pain et panification sèche;1;pain;90003;pain type poilâne
F;1;pain et panification sèche;1;pain;91123;pain sans précision
F;1;pain et panification sèche;1;pain;92031;autre pain
F;1;pain et panification sèche;2;biscottes et panification sèche;7300;biscotte classique type heudebert lu
F;1;pain et panification sèche;2;biscottes et panification sèche;7310;biscotte sans adjonction de sel
F;1;pain et panification sèche;2;biscottes et panification sèche;7330;biscotte multicéréales type heudebert aux six céréales
F;1;pain et panification sèche;2;biscottes et panification sèche;7340;biscotte complète ou riche en fibres
F;1;pain et panification sèche;2;biscottes et panification sèche;7400;pain grillé au froment type tranches pain grillé pelletier lu braisotte jacquet
F;1;pain et panification sèche;2;biscottes et panification sèche;7411;tartine extrudée fourrée au chocolat ou aux fruits type craquinette de lu
F;1;pain et panification sèche;2;biscottes et panification sèche;7425;pain grillé multicéréales type pain grillé multicéréales heudebert lu
F;1;pain et panification sèche;2;biscottes et panification sèche;92030;autre biscotte
F;1;pain et panification sèche;3;autres produits de panification;7430;croûtons
F;1;pain et panification sèche;3;autres produits de panification;7500;chapelure ou panure
F;1;pain et panification sèche;3;autres produits de panification;7812;fougasse garnie
PS;2;céréales pour petit déjeuner;1;céréales sucrées, glacées ou au miel;32000;grains de blé soufflés au miel ou au caramel enrichis en vitamines et minéraux t
PS;2;céréales pour petit déjeuner;1;céréales sucrées, glacées ou au miel;32002;céréales riches en fibres enrichies en vitamines et minéraux type all-bran
PS;2;céréales pour petit déjeuner;1;céréales sucrées, glacées ou au miel;32003;céréales sucrées sans précision
PS;2;céréales pour petit déjeuner;1;céréales sucrées, glacées ou au miel;32005;pétales de maïs ou corn-flakes nature sucrés enrichis en vitamines et minéraux t
PS;2;céréales pour petit déjeuner;1;céréales sucrées, glacées ou au miel;32006;riz soufflé nature sucré enrichi en vitamines et minéraux type rice krispies kel
PS;2;céréales pour petit déjeuner;1;céréales sucrées, glacées ou au miel;32021;céréales nature enrichies en vitamines et minéraux type kellogg's spécial k ou n
PS;2;céréales pour petit déjeuner;1;céréales sucrées, glacées ou au miel;32121;pétales de maïs glacés au sucre enrichis en vitamines et minéraux type kellogg's
