codgr;libgr;sougr;libsougr;codal;libal;group_alim;code_role;code_role2
1;pain et panification sèche;1;pain;7001.0;pain baguette;pain;F;A
1;pain et panification sèche;1;pain;7004.0;pain grillé maison;pain;F;A
1;pain et panification sèche;1;pain;7012.0;pain courant français boule à la levure;pain;F;A
1;pain et panification sèche;1;pain;7100.0;pain de campagne ou bis;pain;F;A
1;pain et panification sèche;1;pain;7110.0;pain complet ou intégral artisanal;pain;F;A
1;pain et panification sèche;1;pain;7125.0;pain de seigle et froment;pain;F;A
1;pain et panification sèche;1;pain;7126.0;pain de seigle aux raisins;pain;F;A
1;pain et panification sèche;1;pain;7160.0;pain baguette sans sel;pain;F;A
1;pain et panification sèche;1;pain;7200.0;pain de mie;pain;F;A
1;pain et panification sèche;1;pain;7225.0;pain brioché ou viennois;pain;F;A
1;pain et panification sèche;1;pain;7255.0;pain aux céréales artisanal;pain;F;A
1;pain et panification sèche;1;pain;90003.0;pain type poilâne;pain;F;A
1;pain et panification sèche;1;pain;91123.0;pain sans précision;pain;F;A
1;pain et panification sèche;1;pain;92031.0;autre pain;pain;F;A
1;pain et panification sèche;2;biscottes et panification sèche;7300.0;biscotte classique type heudebert lu;pain;F;A
1;pain et panification sèche;2;biscottes et panification sèche;7310.0;biscotte sans adjonction de sel;pain;F;A
1;pain et panification sèche;2;biscottes et panification sèche;7330.0;biscotte multicéréales type heudebert aux six céréales;pain;F;A
1;pain et panification sèche;2;biscottes et panification sèche;7340.0;biscotte complète ou riche en fibres;pain;F;A
1;pain et panification sèche;2;biscottes et panification sèche;7400.0;pain grillé au froment type tranches pain grillé pelletier lu braisotte jacquet;pain;F;A
1;pain et panification sèche;2;biscottes et panification sèche;7411.0;tartine extrudée fourrée au chocolat ou aux fruits type craquinette de lu;pain;F;A
1;pain et panification sèche;2;biscottes et panification sèche;7425.0;pain grillé multicéréales type pain grillé multicéréales heudebert lu;pain;F;A
1;pain et panification sèche;2;biscottes et panification sèche;92030.0;autre biscotte;pain;F;A
1;pain et panification sèche;3;autres produits de panification;7430.0;croûtons;pain;F;A
1;pain et panification sèche;3;autres produits de panification;7500.0;chapelure ou panure;pain;F;A
1;pain et panification sèche;3;autres produits de panification;7812.0;fougasse garnie;pain;F;A
2;céréales pour petit déjeuner;1;céréales sucrées, glacées ou au miel;32000.0;grains de blé soufflés au miel ou au caramel enrichis en vitamines et minéraux t;céréales pdj;PS;PS
2;céréales pour petit déjeuner;1;céréales sucrées, glacées ou au miel;32002.0;céréales riches en fibres enrichies en vitamines et minéraux type all-bran;céréales pdj;PS;PS
2;céréales pour petit déjeuner;1;céréales sucrées, glacées ou au miel;32003.0;céréales sucrées sans précision;céréales pdj;PS;PS
2;céréales pour petit déjeuner;1;céréales sucrées, glacées ou au miel;32005.0;pétales de maïs ou corn-flakes nature sucrés enrichis en vitamines et minéraux t;céréales pdj;PS;PS
2;céréales pour petit déjeuner;1;céréales sucrées, glacées ou au miel;32006.0;riz soufflé nature sucré enrichi en vitamines et minéraux type rice krispies kel;céréales pdj;PS;PS
