,cluster,repas,compagnie,malus,aliment_1,aliment_2,score
0,cluster_1,petit-dejeuner,seul,False,beurre,margarine,0.8995270649316196
1,cluster_1,petit-dejeuner,seul,False,biscottes et panification sèche,pain,0.4570654347669501
2,cluster_1,petit-dejeuner,seul,False,biscuits sucrés,céréales chocolatées,0.6862169267774235
3,cluster_1,petit-dejeuner,seul,False,biscuits sucrés,"céréales sucrées, glacées ou au miel",0.7921770990658388
4,cluster_1,petit-dejeuner,seul,False,biscuits sucrés,fruits,0.755015576168305
5,cluster_1,petit-dejeuner,seul,False,biscuits sucrés,gâteaux,0.7977851512535444
6,cluster_1,petit-dejeuner,seul,False,biscuits sucrés,pâte chocolatée à tartiner,0.6849583263411086
7,cluster_1,petit-dejeuner,seul,False,biscuits sucrés,viennoiserie,0.8935148978790697
8,cluster_1,petit-dejeuner,seul,False,"cacao, poudres et boissons cacaotées",café,0.4550296714635925
9,cluster_1,petit-dejeuner,seul,False,"cacao, poudres et boissons cacaotées",chicorée et poudre maltée,0.902311406472959
10,cluster_1,petit-dejeuner,seul,False,"cacao, poudres et boissons cacaotées",thé et infusions,0.7062386504665191
11,cluster_1,petit-dejeuner,seul,False,café,"cacao, poudres et boissons cacaotées",0.8487677968908379
12,cluster_1,petit-dejeuner,seul,False,café,chicorée et poudre maltée,0.8454025782327826
13,cluster_1,petit-dejeuner,seul,False,café,thé et infusions,0.9352189383410924
14,cluster_1,petit-dejeuner,seul,False,chicorée et poudre maltée,"cacao, poudres et boissons cacaotées",0.8976885935270409
15,cluster_1,petit-dejeuner,seul,False,chicorée et poudre maltée,café,0.4795974217672174
16,cluster_1,petit-dejeuner,seul,False,chicorée et poudre maltée,thé et infusions,0.6917873148277294
17,cluster_1,petit-dejeuner,seul,False,confiture et miel,sucre et assimilés,0.7339986363650759
18,cluster_1,petit-dejeuner,seul,False,céréales chocolatées,biscuits sucrés,0.6471164065559099
19,cluster_1,petit-dejeuner,seul,False,céréales chocolatées,"céréales sucrées, glacées ou au miel",0.8255300106281814
20,cluster_1,petit-dejeuner,seul,False,céréales chocolatées,fruits,0.5265592660961012
21,cluster_1,petit-dejeuner,seul,False,céréales chocolatées,gâteaux,0.8256139173239357
22,cluster_1,petit-dejeuner,seul,False,céréales chocolatées,pâte chocolatée à tartiner,0.9987413995636852
23,cluster_1,petit-dejeuner,seul,False,céréales chocolatées,viennoiserie,0.5765019298540024
24,cluster_1,petit-dejeuner,seul,False,"céréales sucrées, glacées ou au miel",biscuits sucrés,0.7792514723627326
25,cluster_1,petit-dejeuner,seul,False,"céréales sucrées, glacées ou au miel",céréales chocolatées,0.8411366560384852
26,cluster_1,petit-dejeuner,seul,False,"céréales sucrées, glacées ou au miel",fruits,0.6066084514020409
27,cluster_1,petit-dejeuner,seul,False,"céréales sucrées, glacées ou au miel",gâteaux,0.7500839066957543
28,cluster_1,petit-dejeuner,seul,False,"céréales sucrées, glacées ou au miel",pâte chocolatée à tartiner,0.8398780556021703
29,cluster_1,petit-dejeuner,seul,False,"céréales sucrées, glacées ou au miel",viennoiserie,0.6936240234192911
30,cluster_1,petit-dejeuner,seul,False,eau de source,eau du robinet,0.5121559825474074
31,cluster_1,petit-dejeuner,seul,False,eau de source,eau minérale plate,0.7447138781674778
