;Unnamed: 0;Unnamed: 0.1;Unnamed: 0.1.1;Unnamed: 0.1.1.1;Unnamed: 0.1.1.1.1;Unnamed: 0.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1;cluster;tyrep;avecqui;aliment_1;aliment_2;score_substitution;score_sainlim_1;score_sainlim_2;score_sainlim;score_sainlim_nor;malus;Valeur_malus;Compteur_malus
0;0;0;0;0;0;0;0;0;0;cluster_1;petit-dejeuner;seul;café;thé et infusions;0.07722851974036067;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
1;1;1;1;1;1;1;1;1;1;cluster_1;petit-dejeuner;seul;café;chicorée et poudre maltée;0.06999484556907876;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
2;2;2;2;2;2;2;2;2;2;cluster_1;petit-dejeuner;seul;café;cacao, poudres et boissons cacaotées;0.02719742204014033;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
3;3;3;3;3;3;3;3;3;3;cluster_1;petit-dejeuner;seul;thé et infusions;café;0.9227714802596392;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
4;4;4;4;4;4;4;4;4;4;cluster_1;petit-dejeuner;seul;thé et infusions;chicorée et poudre maltée;0.4755445647314727;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
5;5;5;5;5;5;5;5;5;5;cluster_1;petit-dejeuner;seul;thé et infusions;cacao, poudres et boissons cacaotées;0.4222981415616677;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
6;6;6;6;6;6;6;6;6;6;cluster_1;petit-dejeuner;seul;chicorée et poudre maltée;café;0.9300051544309212;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
7;7;7;7;7;7;7;7;7;7;cluster_1;petit-dejeuner;seul;chicorée et poudre maltée;thé et infusions;0.5244554352685272;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
8;8;8;8;8;8;8;8;8;8;cluster_1;petit-dejeuner;seul;chicorée et poudre maltée;cacao, poudres et boissons cacaotées;0.373622467116957;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
9;9;9;9;9;9;9;9;9;9;cluster_1;petit-dejeuner;seul;cacao, poudres et boissons cacaotées;café;0.9728025779598598;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
10;10;10;10;10;10;10;10;10;10;cluster_1;petit-dejeuner;seul;cacao, poudres et boissons cacaotées;thé et infusions;0.5777018584383324;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
11;11;11;11;11;11;11;11;11;11;cluster_1;petit-dejeuner;seul;cacao, poudres et boissons cacaotées;chicorée et poudre maltée;0.626377532883043;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
12;12;12;12;12;12;12;12;12;12;cluster_1;petit-dejeuner;seul;biscottes et panification sèche;pain;0.8874880340509647;86.99778787025706;92.77109206705057;5.773304196793504;0.07753480903731626;False;1.0;0
13;13;13;13;13;13;13;13;13;13;cluster_1;petit-dejeuner;seul;sucre et assimilés;confiture et miel;0.4295337404047537;61.33093500768159;79.62831934953721;18.297384341855626;0.24573175991940524;False;1.0;0
14;14;14;14;14;14;14;14;14;14;cluster_1;petit-dejeuner;seul;beurre;margarine;0.1886759224921717;47.14204550098295;69.92222764099368;22.78018214001073;0.3059352169667405;False;1.0;0
15;15;15;15;15;15;15;15;15;15;cluster_1;petit-dejeuner;seul;biscuits sucrés;fruits;0.7741496598639456;63.184104698549575;95.09128212732844;31.907177428778862;0.42850971030318336;True;0.2;3
16;16;16;16;16;16;16;16;16;16;cluster_1;petit-dejeuner;seul;biscuits sucrés;viennoiserie;0.7821522309711285;63.184104698549575;76.75344943387296;13.569344735323384;0.18223473369013649;True;0.2;2
17;17;17;17;17;17;17;17;17;17;cluster_1;petit-dejeuner;seul;biscuits sucrés;gâteaux;0.4391891891891891;63.184104698549575;70.71256800534765;7.5284633067980735;0.1011063933130751;False;1.0;0
18;18;18;18;18;18;18;18;18;18;cluster_1;petit-dejeuner;seul;biscuits sucrés;céréales sucrées, glacées ou au miel;0.4907975460122699;63.184104698549575;78.25139596954753;15.067291270997956;0.20235198277882008;False;1.0;0
19;19;19;19;19;19;19;19;19;19;cluster_1;petit-dejeuner;seul;viennoiserie;fruits;0.4912110860635899;76.75344943387296;95.09128212732844;18.337832693455482;0.2462749766130469;True;0.2;3
20;20;20;20;20;20;20;20;20;20;cluster_1;petit-dejeuner;seul;viennoiserie;céréales sucrées, glacées ou au miel;0.21248339973439576;76.75344943387296;78.25139596954753;1.4979465356745716;0.020117249088683613;False;1.0;0
21;21;21;21;21;21;21;21;21;21;cluster_1;petit-dejeuner;seul;gâteaux;fruits;0.8091042584434657;70.71256800534765;95.09128212732844;24.378714121980792;0.3274033169901083;True;0.2;3
22;22;22;22;22;22;22;22;22;22;cluster_1;petit-dejeuner;seul;gâteaux;viennoiserie;0.8163841807909605;70.71256800534765;76.75344943387296;6.040881428525307;0.08112834037706135;True;0.2;2
23;23;23;23;23;23;23;23;23;23;cluster_1;petit-dejeuner;seul;gâteaux;céréales sucrées, glacées ou au miel;0.5517241379310345;70.71256800534765;78.25139596954753;7.538827964199883;0.10124558946574497;False;1.0;0
24;24;24;24;24;24;24;24;24;24;cluster_1;petit-dejeuner;seul;céréales sucrées, glacées ou au miel;fruits;0.7796143250688705;78.25139596954753;95.09128212732844;16.83988615778091;0.2261577275243633;True;0.2;3
25;25;25;25;25;25;25;25;25;25;cluster_1;petit-dejeuner;seul;eau du robinet;eau minérale plate;0.08185053380782918;99.83238516227932;99.83238516227932;0.0;0.0;False;0.2;0
