code_sougr,libsougr,SAIN 5 opt,LIM3
"[1, 1]",pain,1.0987934750775399,7.23541529111284
"[1, 2]",biscottes et panification sèche,0.662698003508475,13.004736188259098
"[1, 3]",autres produits de panification,0.662698003508475,13.004736188259098
"[2, 1]",céréales sucrées. glacées ou au miel,3.4787026800864,21.825965955142898
"[2, 2]",céréales chocolatées,3.4787026800864,21.825965955142898
"[2, 3]",céréales aux fruits frais ou secs,3.4787026800864,21.825965955142898
"[2, 4]",autres céréales pour petit déjeuner,3.4787026800864,21.825965955142898
"[3, 1]",pâtes alimentaires,2.07786249719062,0.833045576603331
"[3, 2]",pâtes pour pâtisserie prêtes à l'emploi,0.46497687574493396,16.6366163931504
"[4, 1]",blé,2.07786249719062,0.833045576603331
"[4, 2]",riz,2.07786249719062,0.833045576603331
"[5, 99]",sans,2.07786249719062,0.833045576603331
"[6, 99]",sans,1.26704654736866,23.257009485915297
"[7, 1]",biscuits sucrés,0.626265288300859,36.818999071351
"[7, 2]",biscuits salés pour apéritif,0.6740039200038139,18.917111072667698
"[7, 3]",barres céréalières,3.3228213606001495,21.472945851061898
"[8, 1]",gâteaux,1.40238314909349,29.301339507639497
"[8, 2]",pâtisseries et tartes,1.40238314909349,29.301339507639497
"[8, 3]",beignets. crêpes et gaufres,1.40238314909349,29.301339507639497
"[9, 1]",lait en bouteille ou en brique,6.23993138231057,3.76767229862853
"[9, 2]",lait aromatisé,6.23993138231057,3.76767229862853
"[9, 3]",lait concentré ou en poudre,5.74282900217301,28.3659154821286
"[9, 4]",autre lait,6.51634610829528,5.64113319685917
"[10, 1]",crème fraîche,0.19705073332192,22.5561434836792
"[10, 2]",yaourts et assimilés,3.3561750190223396,8.3818681658591
"[10, 3]",fromage blanc et petits suisses,0.751184055967655,7.90833729781161
"[11, 1]",fromages affinés,2.31711577627729,27.3714766352199
"[11, 2]",fromages fondus,1.08799407571971,22.9934059593717
"[11, 3]",fromages frais non affinés,0.552020843986656,25.491684657450598
"[11, 4]",autres fromages ou fromage sans précision,0.552020843986656,25.491684657450598
"[12, 99]",sans,6.9009561140166795,9.02527449902648
"[13, 99]",sans,1.4149893433178002,52.87919504958511
"[14, 99]",sans,0.088572435232495,23.9803345243402
"[15, 99]",sans,1.5255402136346299,30.0944162077483
"[16, 99]",sans,1.07815588559106,41.881105468165394
"[17, 1]",agneau,2.27046494847285,7.685543075172
"[17, 2]",buf en pièces ou haché,3.71737784292734,4.96487094679293
"[17, 3]",porc,2.89957648315798,9.409447119466149
"[17, 4]",veau,3.71737784292734,4.96487094679293
"[17, 5]",autre viande,4.0511736471724396,4.260951590116201
"[18, 1]",volailles et lapins,5.97507871773209,3.1681845893120895
"[18, 2]",gibier,2.4930582597249304,3.00228498111467
