,cluster,repas,compagnie,malus,aliment_1,aliment_2,score
0,cluster_0,petit-dejeuner,seul,False,beurre,margarine,0.8994660009493027
1,cluster_0,petit-dejeuner,seul,False,biscottes et panification sèche,pain,0.503497963135289
2,cluster_0,petit-dejeuner,seul,False,biscuits sucrés,"céréales sucrées, glacées ou au miel",0.765607424071991
3,cluster_0,petit-dejeuner,seul,False,biscuits sucrés,fruits,0.7317902703401391
4,cluster_0,petit-dejeuner,seul,False,biscuits sucrés,gâteaux,0.7678571428571429
5,cluster_0,petit-dejeuner,seul,False,biscuits sucrés,viennoiserie,0.8126648641225863
6,cluster_0,petit-dejeuner,seul,False,"cacao, poudres et boissons cacaotées",café,0.3322158434929689
7,cluster_0,petit-dejeuner,seul,False,"cacao, poudres et boissons cacaotées",chicorée et poudre maltée,0.875049836257895
8,cluster_0,petit-dejeuner,seul,False,"cacao, poudres et boissons cacaotées",thé et infusions,0.6055181260455944
9,cluster_0,petit-dejeuner,seul,False,café,"cacao, poudres et boissons cacaotées",0.7902331360988678
10,cluster_0,petit-dejeuner,seul,False,café,chicorée et poudre maltée,0.7933315646078074
11,cluster_0,petit-dejeuner,seul,False,café,thé et infusions,0.8578495967872126
12,cluster_0,petit-dejeuner,seul,False,chicorée et poudre maltée,"cacao, poudres et boissons cacaotées",0.874950163742105
13,cluster_0,petit-dejeuner,seul,False,chicorée et poudre maltée,café,0.4027468667647416
14,cluster_0,petit-dejeuner,seul,False,chicorée et poudre maltée,thé et infusions,0.6727607817454774
15,cluster_0,petit-dejeuner,seul,False,confiture et miel,sucre et assimilés,0.7196993353066962
16,cluster_0,petit-dejeuner,seul,False,"céréales sucrées, glacées ou au miel",biscuits sucrés,0.734392575928009
17,cluster_0,petit-dejeuner,seul,False,"céréales sucrées, glacées ou au miel",fruits,0.6329208848893888
18,cluster_0,petit-dejeuner,seul,False,"céréales sucrées, glacées ou au miel",gâteaux,1.0022497187851518
