,alpha,beta,omega_ini,seuil_acc,user,cluster,id_user,nojour,tyrep,avecqui,repas,substitution,reponse,omega,epsilon
0,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B0079508>,5,7,1,petit-dejeuner,accompagne,"['café', 'pain', 'gâteaux']","('gâteaux', 'compotes')",True,0.5,0.9916
1,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CC8288>,3,8,1,petit-dejeuner,accompagne,"['café', 'thé et infusions', 'pain']","('café', 'thé et infusions')",False,0.5,0.9958
2,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CCA648>,8,9,1,petit-dejeuner,seul,"['aliments destinés à une alimentation particulière', 'pain', 'beurre', 'lait en bouteille ou en brique', 'biscuits sucrés', 'sucre et assimilés']","('sucre et assimilés', 'confiture et miel')",True,0.5,0.9956
3,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B07D08>,8,10,1,petit-dejeuner,accompagne,"['aliments destinés à une alimentation particulière', 'café', 'eau minérale plate', 'beurre', 'margarine', 'fruits', 'viennoiserie']","('beurre', 'margarine')",False,0.5,0.9956
4,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B21688>,5,11,1,petit-dejeuner,seul,"['café', 'thé et infusions', 'autre eau', 'pain', 'sucre et assimilés']","('sucre et assimilés', 'confiture et miel')",True,0.5,0.9958
5,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B0079508>,5,7,1,dejeuner,accompagne,"['eau du robinet', 'herbes aromatiques', 'sel et épices', 'margarine']","('sel et épices', 'sauces')",True,0.5,0.9874
6,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CC8288>,3,8,1,dejeuner,accompagne,"['sauces', 'sel et épices', 'pain', 'légumes feuilles', 'beurre', 'huile', 'yaourts et assimilés', 'chocolat en tablettes', 'fruits']","('chocolat en tablettes', 'fruits')",True,0.5,0.9916
7,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CCA648>,8,9,1,dejeuner,accompagne,"['café', 'sauces', 'champignons', 'choux', 'légumes fruits', 'légumes tiges', 'margarine', 'pâtés, terrines, rillettes et foie gras', 'fromages affinés', 'yaourts et assimilés']","('fromages affinés', 'yaourts et assimilés')",False,0.5,0.9912000000000001
8,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B07D08>,8,10,1,dejeuner,accompagne,"['pain', 'riz', 'légumes fruits', 'légumes racines, tubercules ou bulbes', 'huile', 'volailles et lapins', 'autres sandwichs', 'plats garnis à base de viande', 'fromages affinés', 'yaourts et assimilés', 'fruits', 'sucre et assimilés']","('fromages affinés', 'yaourts et assimilés')",False,0.5,0.9912000000000001
9,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B21688>,5,11,1,dejeuner,accompagne,"['café', 'pommes de terre et apparentés', 'beurre', 'fruits']","('beurre', 'huile')",False,0.5,0.9916
10,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B0079508>,5,7,1,gouter,seul,['biscuits sucrés'],"('biscuits sucrés', 'fruits')",True,0.5,0.9832000000000001
11,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CC8288>,3,8,1,gouter,accompagne,['eau de source'],"('eau de source', 'eau minérale plate')",True,0.5,0.9874
12,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CCA648>,8,9,1,gouter,seul,"['confiture et miel', 'sucre et assimilés']","('sucre et assimilés', 'confiture et miel')",False,0.5,0.9868000000000001
13,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B07D08>,8,10,1,gouter,seul,"['eau minérale gazeuse', 'fruits']",(),False,0.5,0.9912000000000001
14,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B21688>,5,11,1,gouter,accompagne,['café'],"('café', 'thé et infusions')",True,0.5,0.9874
15,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B0079508>,5,7,1,diner,accompagne,"['aliments destinés à une alimentation particulière', 'autre eau', 'vin', 'pain', 'légumes feuilles', 'légumes fruits', 'huile', 'sucre et assimilés']","('sucre et assimilés', 'confiture et miel')",False,0.5,0.9790000000000001
16,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CC8288>,3,8,1,diner,accompagne,"['sel et épices', 'pain', 'fromage blanc et petits suisses', 'fromages affinés', 'lait en bouteille ou en brique', 'yaourts et assimilés', 'chocolat en tablettes', 'entremets']","('sel et épices', 'sauces')",True,0.5,0.9832000000000001
17,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B1CCA648>,8,9,1,diner,accompagne,"['eau du robinet', 'eau minérale plate', 'beignets, crêpes et gaufres', 'fruits', 'gâteaux']","('gâteaux', 'fruits')",True,0.5,0.9824000000000002
18,1.01,1.005,0.5,0.8,<__main__.VirtualUser object at 0x00000283B3B07D08>,8,10,1,diner,accompagne,"['café', 'cocktails et mélanges', 'vin', 'sauces', 'légumes feuilles']","('café', 'thé et infusions')",False,0.5,0.9868000000000001
