nomen;sexeps;tage;bmi;fromages;fruits;l√.gumes..hors.pommes.de.terre.;poissons;ultra.frais.laitier;viande;volaille.et.gibier;clust.num
110006;2;7;2;0;1;1;0;1;1;0;1
110007;1;8;1;1;1;1;1;1;1;0;1
110020;2;6;2;1;1;1;1;1;1;0;1
110021;2;8;1;1;1;1;1;1;1;1;1
110025;2;6;1;1;1;1;0;0;0;1;1
110034;2;7;1;1;1;0;0;0;1;0;2
110046;1;8;2;1;1;1;1;1;1;0;1
110057;1;7;2;1;1;1;1;1;1;0;1
110067;1;6;1;1;0;1;1;1;0;1;1
110071;2;5;1;0;0;1;1;0;1;0;3
110081;1;8;1;1;1;1;0;1;1;1;1
110110;2;5;1;1;1;0;1;0;0;0;3
110113;2;6;1;0;0;1;0;0;0;1;2
110125;2;5;1;1;0;0;0;0;1;0;2
110147;1;4;2;0;0;0;0;0;1;0;2
110152;1;6;2;1;1;1;0;1;1;1;1
110167;1;7;2;0;1;0;1;0;0;0;3
110174;2;6;1;0;1;1;1;0;0;1;3
110185;1;7;2;0;0;0;0;1;0;1;2
110194;1;7;2;0;0;0;1;0;0;1;2
110201;1;4;2;1;1;0;0;1;0;1;4
110207;2;8;1;0;1;1;1;0;1;0;1
110208;2;4;0;0;0;1;1;1;0;1;1
110234;2;6;1;1;1;1;0;1;0;0;5
110237;1;6;1;0;1;1;1;1;1;1;1
110238;2;6;1;1;0;1;1;1;1;1;1
110243;2;6;1;1;1;1;1;1;0;0;5
110244;1;8;1;1;1;1;1;0;1;0;1
110264;2;6;2;1;1;1;1;1;1;0;1
110291;2;7;1;1;0;0;1;0;0;0;6
110298;1;7;2;1;0;1;1;1;1;1;2
110300;2;7;2;1;0;0;0;0;0;0;3
110305;2;4;2;1;1;1;0;0;0;1;1
110312;2;6;1;1;1;0;0;1;1;1;1
110330;2;5;0;0;1;1;1;1;0;0;3
110341;2;6;1;1;0;1;1;0;1;1;1
110348;2;6;1;1;1;1;1;0;0;0;3
110352;2;6;2;0;1;1;1;1;1;0;1
110361;1;4;1;0;0;0;0;0;0;1;2
110362;1;7;1;1;0;1;1;0;1;1;1
110371;1;4;1;0;0;1;0;1;0;1;4
110372;2;6;1;0;0;1;1;1;0;0;3
110373;1;7;1;0;0;1;1;1;0;0;3
110385;2;7;2;1;1;0;0;1;0;1;1
110390;1;7;2;1;0;1;0;1;0;1;4
110391;2;5;2;0;0;0;0;1;0;1;2
110392;1;8;1;0;1;1;1;0;0;1;1
110407;2;6;1;0;1;0;1;1;0;1;1
110409;1;4;1;0;0;0;1;0;1;1;2
110410;2;6;1;1;0;0;1;1;1;0;6
110432;1;7;1;1;0;0;1;0;0;0;6
110455;1;7;2;1;0;1;1;0;1;0;7
110462;1;8;2;1;1;1;1;1;0;1;4
110469;2;8;1;1;1;1;0;1;1;1;1
110472;2;7;2;1;1;1;0;1;0;1;1
110483;2;5;1;1;0;1;0;0;1;1;2
110486;1;8;2;0;1;1;1;0;0;1;1
110493;2;6;1;0;1;1;1;0;0;0;3
110498;1;6;2;0;1;0;0;0;1;1;4
110500;2;6;1;1;1;1;1;1;1;1;1
110512;2;7;1;1;0;0;0;0;1;1;2
110518;2;5;1;0;0;1;1;1;1;0;3
110519;1;6;1;0;1;0;1;1;1;0;1
110525;2;5;1;0;0;1;0;0;0;0;5
110531;1;4;2;0;1;1;1;0;0;1;1
110534;2;7;2;0;1;1;0;1;1;1;1
110537;2;8;0;1;1;0;0;1;1;0;3
110539;2;6;2;0;1;0;1;1;1;0;1
110548;1;6;2;0;0;1;1;0;0;0;5
110554;2;5;1;0;1;0;1;1;1;0;1
110555;1;7;1;1;1;1;1;1;1;1;1
110558;2;6;1;1;1;0;1;1;0;0;3
110559;2;7;1;1;0;0;1;0;1;0;2
110564;1;7;2;1;1;1;0;0;1;1;1
110569;2;4;2;1;0;1;0;0;0;0;3
110571;2;7;1;1;1;1;1;1;0;1;1
110574;2;4;1;1;0;1;1;1;0;1;1
110580;2;4;1;1;1;1;1;0;0;0;3
110582;2;6;1;1;1;1;1;1;0;0;5
110595;2;4;1;0;0;0;0;0;0;1;2
110598;1;8;1;1;1;0;0;0;1;0;4
110605;2;5;0;0;0;0;0;0;0;1;2
110609;2;7;2;0;1;0;1;1;1;1;1
110621;2;7;1;0;1;1;0;1;0;0;1
110622;1;6;2;0;0;0;1;0;0;1;2
110633;2;6;1;0;0;0;0;0;1;1;2
110636;2;8;1;0;1;1;1;0;0;1;3
110642;2;7;1;1;0;0;1;1;0;0;6
110644;1;6;1;1;0;1;1;1;0;0;1
110647;1;8;2;0;1;1;1;0;1;1;1
110653;2;7;2;1;1;1;1;0;1;0;5
110668;1;4;1;0;0;0;0;0;1;1;2
110677;1;7;1;0;1;0;1;1;0;0;3
110687;2;8;1;1;1;1;1;1;0;1;1
110694;2;7;1;1;0;1;1;1;1;1;1
110695;1;6;1;1;1;1;0;1;1;0;1
110696;2;7;2;1;1;1;0;0;0;0;5
110699;2;5;0;1;1;0;0;0;0;0;3
110705;1;6;1;1;1;1;1;1;1;0;1
110712;2;7;2;0;1;1;0;1;1;0;1
110714;2;4;1;0;1;0;0;0;1;1;2
110715;1;7;1;1;0;0;0;1;0;1;4
110733;1;4;1;0;0;0;0;0;1;0;2
110735;1;4;1;0;0;0;0;0;1;1;2
110744;2;6;1;0;0;1;0;1;1;1;2
110753;1;6;2;1;1;1;1;1;1;0;1
110760;1;7;2;1;1;1;0;1;1;0;1
110796;1;6;2;1;0;1;1;0;1;1;1
110816;2;6;2;0;0;1;1;0;1;1;1
110826;1;4;2;1;0;1;1;0;1;0;7
110834;1;7;2;1;0;0;0;0;0;1;2
110857;2;4;1;1;0;0;0;0;0;1;2
110859;2;6;0;1;1;0;0;1;1;1;1
110866;1;4;1;1;1;0;1;0;1;1;1
110871;1;7;2;1;0;0;1;1;1;1;2
110885;2;5;1;1;0;1;0;1;0;0;5
110887;1;6;2;1;1;1;1;1;0;1;4
110888;1;6;2;1;1;0;0;0;1;1;4
110889;1;7;2;1;1;1;0;0;1;1;1
110891;2;6;2;1;1;0;0;0;0;0;3
110893;1;4;1;0;1;0;1;0;0;1;3
110903;2;8;2;1;1;0;1;1;1;1;1
110906;1;8;2;1;1;1;0;0;1;1;1
110908;2;8;2;1;1;1;0;1;1;1;1
110910;1;7;2;1;0;1;1;0;0;1;5
110915;2;6;2;1;1;1;0;0;1;0;1
110920;2;7;2;1;1;0;0;0;0;1;2
110923;1;7;1;0;1;0;0;0;0;0;3
110927;1;8;2;1;1;1;1;0;0;1;4
110928;1;6;1;0;1;1;1;1;1;0;1
110935;1;7;1;0;0;0;1;0;0;0;3
110937;1;7;2;1;1;0;1;1;0;1;4
110939;2;6;1;1;0;0;0;0;1;1;2
110941;2;8;2;1;1;1;0;1;1;0;1
110946;2;5;1;1;1;1;0;0;0;1;1
110947;2;4;1;0;0;0;0;1;1;0;8
110949;1;4;1;0;0;0;0;1;0;1;4
110955;1;5;2;0;0;1;1;0;1;0;7
110969;2;7;2;1;1;1;0;1;0;1;1
110972;1;7;2;1;0;1;0;0;1;1;1
110974;2;6;2;0;0;0;1;0;1;1;1
110978;2;6;2;1;0;0;0;0;1;0;2
110979;1;6;2;0;1;1;1;0;0;1;1
110984;1;7;2;1;1;1;1;1;1;1;1
110985;2;6;1;0;1;1;1;1;0;1;1
110987;1;7;2;1;1;1;0;0;1;0;1
110988;1;5;1;1;0;0;0;0;1;1;2
110989;1;6;1;1;1;1;1;0;1;0;1
110990;2;7;2;1;1;1;1;1;1;1;1
110994;2;7;1;1;0;1;0;1;1;1;1
110995;1;5;2;0;0;1;0;0;1;1;1
110999;1;5;1;1;1;1;0;0;1;1;1
111001;1;7;1;0;0;1;0;1;0;1;4
111006;2;4;1;1;1;0;0;0;0;0;3
111012;1;5;1;0;0;1;0;1;0;1;4
111016;2;7;2;0;0;1;1;1;1;1;1
111033;2;7;2;0;1;1;1;1;1;0;1
111035;2;5;1;0;0;0;0;0;1;1;2
111041;1;6;2;1;1;1;1;0;0;0;5
111051;2;4;2;1;0;0;0;0;0;0;3
111055;2;6;1;0;1;0;0;1;0;0;3
111057;2;6;1;0;1;1;0;1;1;0;1
111061;2;4;1;1;0;0;0;0;0;0;2
111080;2;7;1;0;0;1;0;1;1;1;2
111081;2;6;2;0;0;0;0;0;0;0;2
111087;2;8;2;1;1;1;0;1;0;1;1
111089;2;5;2;0;0;0;0;0;0;0;2
111091;1;6;1;1;1;1;1;0;0;1;9
111097;2;7;1;1;1;1;1;0;0;1;1
111102;1;6;2;0;0;0;0;0;1;0;2
111105;2;8;2;1;0;0;1;0;1;0;2
111118;2;4;2;0;0;0;0;0;1;1;2
111120;2;6;1;1;1;1;0;1;1;1;1
111121;2;5;1;1;0;0;0;0;0;0;2
111134;2;6;1;1;0;1;0;1;1;0;7
111138;2;7;1;1;1;0;1;1;0;0;3
111139;2;5;2;0;1;1;0;0;1;1;1
111140;2;7;2;0;1;1;1;1;1;1;1
111142;2;7;2;1;1;1;0;1;0;1;1
111149;1;6;2;1;1;1;0;1;1;0;1
111153;2;4;0;1;0;0;0;1;1;0;2
111158;2;6;1;0;1;1;0;1;1;0;1
111160;2;6;2;0;0;0;0;0;1;0;2
111162;2;4;1;0;0;0;0;0;0;1;2
111164;2;6;1;1;0;1;0;1;0;0;5
111168;2;5;1;0;0;0;1;0;1;0;3
111169;2;7;2;0;0;0;0;1;1;0;2
111174;1;6;2;0;0;1;1;1;1;0;7
111175;2;8;2;0;1;1;1;1;1;1;1
