;Couples;Score confiance;Score biblio;Score combiné
3608;condiments d'accompagnement vers herbes aromatiques;-0,030924855;0,5;0,469075145
1337;volailles et lapins vers bœuf en pièces ou haché;0,01902302;0,344660194;0,363683214
543;bœuf en pièces ou haché vers volailles et lapins;-0,022024783;0,344660194;0,322635412
569;légumes racines, tubercules ou bulbes vers légumes fruits;0,02879877;0,272952854;0,301751624
85;eau minérale plate vers eau de source;0,040155866;0,252788104;0,29294397
685;céréales sucrées, glacées ou au miel vers céréales chocolatées;-0,009209799;0,272727273;0,263517474
170;légumes fruits vers légumes feuilles;0,042799332;0,208406305;0,251205636
219;légumes fruits vers légumes racines, tubercules ou bulbes;-0,02939683;0,272952854;0,243556024
139;huile vers beurre;0,051009749;0,190943396;0,241953145
70;eau de source vers eau minérale plate;-0,042810507;0,252788104;0,209977597
164;légumes racines, tubercules ou bulbes vers légumes feuilles;0,054719343;0,153846154;0,208565497
454;café vers thé et infusions;0,203571429;0,004166667;0,207738095
25;sucre et assimilés vers confiture et miel;0,078554316;0,118811881;0,197366197
426;volailles et lapins vers poissons de mer;0,021860751;0,171779141;0,193639893
153;eau du robinet vers vin;0,088354683;0,105072464;0,193427147
114;pommes de terre et apparentés vers pâtes alimentaires;0,052836109;0,139240506;0,192076615
105;pommes de terre et apparentés vers pain;0,166892256;0,020372526;0,187264783
81;eau du robinet vers eau de source;0,135396798;0,051572327;0,186969125
1171;poissons de mer vers bœuf en pièces ou haché;0,014815205;0,160305344;0,175120548
1541;volailles et lapins vers jambons et charcuteries en pièces;0,016732759;0,156862745;0,173595504
61;eau de source vers vin;0,027145983;0,143631436;0,17077742
126;légumes feuilles vers légumes fruits;-0,042561035;0,208406305;0,16584527
117;beurre vers margarine;0,153313906;0,008658009;0,161971915
451;légumes racines, tubercules ou bulbes vers haricots verts et petits pois (légumes potagers);0,026168381;0,127192982;0,153361364
331;poissons de mer vers volailles et lapins;-0,022327141;0,171779141;0,149452
239;bœuf en pièces ou haché vers poissons de mer;-0,017041272;0,160305344;0,143264072
357;pâte chocolatée à tartiner vers céréales chocolatées;-0,00296827;0,142857143;0,139888873
64;beurre vers huile;-0,052260172;0,190943396;0,138683224
251;jambons et charcuteries en pièces vers volailles et lapins;-0,018447734;0,156862745;0,138415011
